time,keypoint_4_x,keypoint_4_y,keypoint_4_z,,,,,,,,,,,,,,,,,,,,
8.209484,-0.29040334,0.753223,-2.5422246,,,,,,,,,,,,,,,,,,,,
8.319191,-0.30569375,0.76031536,-2.5730464,,,,,,,,,,,,,,,,,,,,
8.430892,-0.32400486,0.7548394,-2.5471642,,,,,,,,,,,,,,,,,,,,
8.541596,-0.31417024,0.7485689,-2.583359,,,,,,,,,,,,,,,,,,,,
8.650306,-0.29138932,0.7632163,-2.5882246,,,,,,,,,,,,,,,,,,,,
8.762007,-0.27138606,0.7705766,-2.5950472,,,,,,,,,,,,,,,,,,,,
8.873708,-0.08251987,0.7124977,-2.461592,,,,,,,,,,,,,,,,,,,,
8.985409,0.061077703,0.6877068,-2.4418023,,,,,,,,,,,,,,,,,,,,
9.096114,0.07349999,0.6907711,-2.5269663,,,,,,,,,,,,,,,,,,,,
9.20582,0.05582198,0.66607416,-2.4428906,,,,,,,,,,,,,,,,,,,,
